"super_code","j_code","start_date","end_date","count"
"M25","197710","2021/10/1","2021/10/31","0"
"OHR","197710","2021/10/1","2021/10/31","0"
"M70","197790","2021/10/1","2021/10/31","0"
"MKR","197990","2021/10/1","2021/10/31","0"
"SSI","198080","2021/10/1","2021/10/31","0"
"HC7","198180","2021/10/1","2021/10/31","160"
"ANK","198670","2021/10/1","2021/10/31","0"
"WPK","199100","2021/10/1","2021/10/31","0"
"B34","199200","2021/10/1","2021/10/31","0"
"KEH","199200","2021/10/1","2021/10/31","0"
"S31","199720","2021/10/1","2021/10/31","0"
"HC7","199740","2021/10/1","2021/10/31","512"
"ACI","200630","2021/10/1","2021/10/31","7"
"ACI","200770","2021/10/1","2021/10/31","0"
"SKA","200800","2021/10/1","2021/10/31","0"
"HC7","202080","2021/10/1","2021/10/31","985"
"SES","203010","2021/10/1","2021/10/31","158"
"SES","203020","2021/10/1","2021/10/31","29"
"SES","203040","2021/10/1","2021/10/31","0"
"SES","203050","2021/10/1","2021/10/31","94"
"SES","203070","2021/10/1","2021/10/31","1"
"S31","204140","2021/10/1","2021/10/31","0"
"HC7","204320","2021/10/1","2021/10/31","642"
"HC7","204800","2021/10/1","2021/10/31","14"
"TJY","205550","2021/10/1","2021/10/31","182"
"SMS","206570","2021/10/1","2021/10/31","0"
"KSE","207200","2021/10/1","2021/10/31","1,377"
"KSE","207400","2021/10/1","2021/10/31","0"
"GT3","207710","2021/10/1","2021/10/31","0"
"PS2","208540","2021/10/1","2021/10/31","0"
"PSO","208540","2021/10/1","2021/10/31","0"
"SMS","208540","2021/10/1","2021/10/31","0"
"SMS","209000","2021/10/1","2021/10/31","0"
"HC7","209440","2021/10/1","2021/10/31","1,438"
"ANK","214200","2021/10/1","2021/10/31","0"
"YSH","214290","2021/10/1","2021/10/31","842"
"YKM","214440","2021/10/1","2021/10/31","1,335"
"UOT","217320","2021/10/1","2021/10/31","0"
"HWY","218640","2021/10/1","2021/10/31","0"
"MSY","218780","2021/10/1","2021/10/31","0"
"SMJ","219500","2021/10/1","2021/10/31","135"
"OUK","219800","2021/10/1","2021/10/31","361"
"B01","219800","2021/10/1","2021/10/31","149"
"OHR","221770","2021/10/1","2021/10/31","0"
"R01","221770","2021/10/1","2021/10/31","0"
"OHR","221800","2021/10/1","2021/10/31","0"
"UOT","221910","2021/10/1","2021/10/31","0"
"UOT","221930","2021/10/1","2021/10/31","0"
"UOT","222770","2021/10/1","2021/10/31","0"
"SSD","222810","2021/10/1","2021/10/31","0"
"NTN","222960","2021/10/1","2021/10/31","6"
"OZA","224100","2021/10/1","2021/10/31","0"
"JJY","224110","2021/10/1","2021/10/31","61"
"KSE","224230","2021/10/1","2021/10/31","408"
"S31","225700","2021/10/1","2021/10/31","0"
"S43","228260","2021/10/1","2021/10/31","0"
"PS2","228380","2021/10/1","2021/10/31","0"
"PSO","228380","2021/10/1","2021/10/31","722"
"I10","228950","2021/10/1","2021/10/31","0"
"NTN","229290","2021/10/1","2021/10/31","0"
"NTN","229310","2021/10/1","2021/10/31","3"
"NTN","229340","2021/10/1","2021/10/31","6"
"NTN","229350","2021/10/1","2021/10/31","3"
"NTN","229380","2021/10/1","2021/10/31","1"
"NTN","229790","2021/10/1","2021/10/31","48"
"NTN","229900","2021/10/1","2021/10/31","3"
"NTN","230000","2021/10/1","2021/10/31","66"
"NTN","240330","2021/10/1","2021/10/31","5"
"NTN","240350","2021/10/1","2021/10/31","20"
"NTN","240400","2021/10/1","2021/10/31","34"
"NTN","240430","2021/10/1","2021/10/31","0"
"NTN","240470","2021/10/1","2021/10/31","8"
"NTN","240490","2021/10/1","2021/10/31","5"
"NTN","240660","2021/10/1","2021/10/31","1"
"NTN","240730","2021/10/1","2021/10/31","2"
"NTN","241010","2021/10/1","2021/10/31","1"
"NTN","241110","2021/10/1","2021/10/31","22"
"NTN","241150","2021/10/1","2021/10/31","0"
"NTN","241340","2021/10/1","2021/10/31","35"
"NTN","241600","2021/10/1","2021/10/31","0"
"NTN","241730","2021/10/1","2021/10/31","1"
"NTN","241880","2021/10/1","2021/10/31","4"
"NTN","242370","2021/10/1","2021/10/31","7"
"NTN","242600","2021/10/1","2021/10/31","0"
"NTN","242970","2021/10/1","2021/10/31","5"
"NTN","243220","2021/10/1","2021/10/31","41"
"NTN","243240","2021/10/1","2021/10/31","0"
"NTN","243280","2021/10/1","2021/10/31","9"
"NTN","243290","2021/10/1","2021/10/31","82"
"NTN","243320","2021/10/1","2021/10/31","0"
"NTN","243390","2021/10/1","2021/10/31","20"
"NTN","243420","2021/10/1","2021/10/31","48"
"NTN","243440","2021/10/1","2021/10/31","1"
"NTN","243510","2021/10/1","2021/10/31","43"
"NTN","243570","2021/10/1","2021/10/31","38"
"NTN","243590","2021/10/1","2021/10/31","21"
"NTN","243650","2021/10/1","2021/10/31","4"
"NTN","243690","2021/10/1","2021/10/31","15"
"NTN","243730","2021/10/1","2021/10/31","48"
"NTN","244000","2021/10/1","2021/10/31","1"
"GRH","244020","2021/10/1","2021/10/31","135"
"NTN","244130","2021/10/1","2021/10/31","11"
"S41","244410","2021/10/1","2021/10/31","0"
"SSD","244730","2021/10/1","2021/10/31","22"
"S30","244730","2021/10/1","2021/10/31","0"
"HC7","245210","2021/10/1","2021/10/31","29"
"AKB","245290","2021/10/1","2021/10/31","0"
"SSD","245890","2021/10/1","2021/10/31","164"
"I10","245930","2021/10/1","2021/10/31","0"
"YOK","245930","2021/10/1","2021/10/31","0"
"SMJ","247140","2021/10/1","2021/10/31","10"
"NTN","247370","2021/10/1","2021/10/31","3,232"
"MDM","247440","2021/10/1","2021/10/31","0"
"OUK","248020","2021/10/1","2021/10/31","683"
"B01","248020","2021/10/1","2021/10/31","150"
"NTN","248220","2021/10/1","2021/10/31","1"
"S31","248710","2021/10/1","2021/10/31","0"
"TOB","248710","2021/10/1","2021/10/31","485"
"NTN","249310","2021/10/1","2021/10/31","0"
"SMJ","250040","2021/10/1","2021/10/31","4"
"SMJ","250200","2021/10/1","2021/10/31","45"
"S31","251630","2021/10/1","2021/10/31","0"
"S31","252830","2021/10/1","2021/10/31","0"
"YBM","253010","2021/10/1","2021/10/31","0"
"NTN","260010","2021/10/1","2021/10/31","12"
"S30","260700","2021/10/1","2021/10/31","0"
"SMJ","260700","2021/10/1","2021/10/31","215"
"NTN","261400","2021/10/1","2021/10/31","23"
"NTN","261410","2021/10/1","2021/10/31","53"
"S40","263340","2021/10/1","2021/10/31","0"
"PS2","270160","2021/10/1","2021/10/31","0"
"PSO","270160","2021/10/1","2021/10/31","84"
"ANK","270500","2021/10/1","2021/10/31","0"
"YSH","271340","2021/10/1","2021/10/31","812"
"NTN","271590","2021/10/1","2021/10/31","10"
"SMJ","272210","2021/10/1","2021/10/31","13"
"KSE","272270","2021/10/1","2021/10/31","0"
"YSH","272530","2021/10/1","2021/10/31","178"
"HC7","272630","2021/10/1","2021/10/31","80"
"HC7","272640","2021/10/1","2021/10/31","1,568"
"NTN","272650","2021/10/1","2021/10/31","44"
"HC7","272840","2021/10/1","2021/10/31","0"
"ANK","272890","2021/10/1","2021/10/31","0"
"HC7","272920","2021/10/1","2021/10/31","213"
"KEO","273090","2021/10/1","2021/10/31","363"
"KHS","273090","2021/10/1","2021/10/31","0"
"KSE","273090","2021/10/1","2021/10/31","0"
"MAM","273090","2021/10/1","2021/10/31","0"
"MUR","273090","2021/10/1","2021/10/31","285"
"STK","273090","2021/10/1","2021/10/31","0"
"SYN","273090","2021/10/1","2021/10/31","231"
"TRZ","273090","2021/10/1","2021/10/31","0"
"TYS","273090","2021/10/1","2021/10/31","2"
"YSY","273090","2021/10/1","2021/10/31","101"
"ANK","273140","2021/10/1","2021/10/31","0"
"ANK","273250","2021/10/1","2021/10/31","0"
"NTN","273400","2021/10/1","2021/10/31","230"
"YSH","273420","2021/10/1","2021/10/31","0"
"011","281220","2021/10/1","2021/10/31","1,846"
"NIZ","281220","2021/10/1","2021/10/31","0"
"012","281220","2021/10/1","2021/10/31","0"
"013","281220","2021/10/1","2021/10/31","0"
"014","281220","2021/10/1","2021/10/31","0"
"H04","281220","2021/10/1","2021/10/31","0"
"NTN","281440","2021/10/1","2021/10/31","0"
"HC7","389730","2021/10/1","2021/10/31","83"
"H13","400230","2021/10/1","2021/10/31","0"
"OHR","400340","2021/10/1","2021/10/31","0"
"S41","400340","2021/10/1","2021/10/31","0"
"OHR","401240","2021/10/1","2021/10/31","0"
"R01","401310","2021/10/1","2021/10/31","0"
"OHR","404010","2021/10/1","2021/10/31","0"
"R01","404010","2021/10/1","2021/10/31","0"
"R02","404010","2021/10/1","2021/10/31","0"
"AGT","420110","2021/10/1","2021/10/31","516"
"NTN","481560","2021/10/1","2021/10/31","9"
"OUK","500010","2021/10/1","2021/10/31","9,722"
"B01","500010","2021/10/1","2021/10/31","2,375"
"OUK","500020","2021/10/1","2021/10/31","101"
"B01","500020","2021/10/1","2021/10/31","85"
"OUK","500030","2021/10/1","2021/10/31","1,164"
"B01","500030","2021/10/1","2021/10/31","284"
"OUK","500040","2021/10/1","2021/10/31","47"
"B01","500040","2021/10/1","2021/10/31","162"
"MAT","292700","2021/10/1","2021/10/31","12,754"
"NAR","298800","2021/10/1","2021/10/31","11"
"NAR","921800","2021/10/1","2021/10/31","0"
"DIK","937600","2021/10/1","2021/10/31","270"
"OAS","961200","2021/10/1","2021/10/31","0"
"MRN","963900","2021/10/1","2021/10/31","17"
"MRN","974800","2021/10/1","2021/10/31","7"
"WAK","987700","2021/10/1","2021/10/31","4,149"
