"super_code","j_code","start_date","end_date","count"
"AFD","019870","2021/10/1","2021/10/31","0"
"SES","020270","2021/10/1","2021/10/31","360"
"PS2","021030","2021/10/1","2021/10/31","0"
"PSO","021030","2021/10/1","2021/10/31","174"
"NTN","022240","2021/10/1","2021/10/31","93"
"GRH","022520","2021/10/1","2021/10/31","22"
"HTM","022540","2021/10/1","2021/10/31","33"
"MSI","022930","2021/10/1","2021/10/31","197"
"S30","024260","2021/10/1","2021/10/31","0"
"H10","024890","2021/10/1","2021/10/31","0"
"KKH","025410","2021/10/1","2021/10/31","0"
"PKS","025410","2021/10/1","2021/10/31","150"
"NTN","025530","2021/10/1","2021/10/31","61"
"NTN","025540","2021/10/1","2021/10/31","1,506"
"HC7","025720","2021/10/1","2021/10/31","15"
"GRH","025900","2021/10/1","2021/10/31","0"
"YSH","025940","2021/10/1","2021/10/31","1,855"
"MSI","025990","2021/10/1","2021/10/31","398"
"GRH","026050","2021/10/1","2021/10/31","32"
"KS3","026500","2021/10/1","2021/10/31","32"
"PS2","027100","2021/10/1","2021/10/31","0"
"PSO","027100","2021/10/1","2021/10/31","0"
"MS2","027350","2021/10/1","2021/10/31","218"
"GRH","028100","2021/10/1","2021/10/31","0"
"GRH","029310","2021/10/1","2021/10/31","41"
"SMS","029430","2021/10/1","2021/10/31","111"
"B11","030260","2021/10/1","2021/10/31","0"
"BEL","030260","2021/10/1","2021/10/31","0"
"I10","030260","2021/10/1","2021/10/31","0"
"AGT","030400","2021/10/1","2021/10/31","5"
"NTN","031130","2021/10/1","2021/10/31","203"
"HC7","031930","2021/10/1","2021/10/31","97"
"HC7","031980","2021/10/1","2021/10/31","200"
"HC7","032000","2021/10/1","2021/10/31","1,948"
"KRS","032110","2021/10/1","2021/10/31","2,249"
"H02","032110","2021/10/1","2021/10/31","0"
"H04","032110","2021/10/1","2021/10/31","0"
"H05","032110","2021/10/1","2021/10/31","0"
"GRH","032460","2021/10/1","2021/10/31","326"
"NTN","032780","2021/10/1","2021/10/31","42"
"GRH","033390","2021/10/1","2021/10/31","6"
"BND","033970","2021/10/1","2021/10/31","0"
"HIH","033970","2021/10/1","2021/10/31","298"
"I10","033970","2021/10/1","2021/10/31","0"
"GRH","034120","2021/10/1","2021/10/31","132"
"HC7","034120","2021/10/1","2021/10/31","19"
"NWT","034950","2021/10/1","2021/10/31","1,088"
"SMS","034950","2021/10/1","2021/10/31","1,515"
"ANK","035230","2021/10/1","2021/10/31","0"
"NTN","035580","2021/10/1","2021/10/31","377"
"FGS","036050","2021/10/1","2021/10/31","0"
"GRH","036600","2021/10/1","2021/10/31","30"
"HC7","036700","2021/10/1","2021/10/31","17"
"SES","036920","2021/10/1","2021/10/31","8"
"WIN","037100","2021/10/1","2021/10/31","0"
"SK6","037220","2021/10/1","2021/10/31","0"
"UIS","037950","2021/10/1","2021/10/31","0"
"UIS","037970","2021/10/1","2021/10/31","0"
"UIS","038000","2021/10/1","2021/10/31","29"
"HTM","038390","2021/10/1","2021/10/31","230"
"JJY","038390","2021/10/1","2021/10/31","0"
"M22","038600","2021/10/1","2021/10/31","0"
"S30","038600","2021/10/1","2021/10/31","0"
"S31","038830","2021/10/1","2021/10/31","0"
"YI2","038830","2021/10/1","2021/10/31","0"
"SMJ","039310","2021/10/1","2021/10/31","0"
"TJY","040210","2021/10/1","2021/10/31","86"
"YSY","040290","2021/10/1","2021/10/31","418"
"SMJ","041150","2021/10/1","2021/10/31","23"
"JJY","042820","2021/10/1","2021/10/31","0"
"UIS","043540","2021/10/1","2021/10/31","0"
"B34","043740","2021/10/1","2021/10/31","0"
"I10","043740","2021/10/1","2021/10/31","0"
"KOT","044670","2021/10/1","2021/10/31","0"
"KTK","046030","2021/10/1","2021/10/31","39"
"MAE","046030","2021/10/1","2021/10/31","6,264"
"S32","046030","2021/10/1","2021/10/31","0"
"OZK","046620","2021/10/1","2021/10/31","3,488"
"NTN","046780","2021/10/1","2021/10/31","90"
"NWT","047580","2021/10/1","2021/10/31","0"
"PKS","047750","2021/10/1","2021/10/31","128"
"JJY","048110","2021/10/1","2021/10/31","483"
"HC7","048840","2021/10/1","2021/10/31","244"
"S31","048840","2021/10/1","2021/10/31","0"
"HC7","048960","2021/10/1","2021/10/31","68"
"AC2","050380","2021/10/1","2021/10/31","0"
"CP2","050380","2021/10/1","2021/10/31","2,992"
"MSH","050380","2021/10/1","2021/10/31","248"
"PS3","050380","2021/10/1","2021/10/31","0"
"SNH","050380","2021/10/1","2021/10/31","0"
"SS3","050380","2021/10/1","2021/10/31","21"
"WAD","050380","2021/10/1","2021/10/31","296"
"ANK","050610","2021/10/1","2021/10/31","0"
"ANK","050980","2021/10/1","2021/10/31","0"
"HC7","051000","2021/10/1","2021/10/31","43"
"PS2","051510","2021/10/1","2021/10/31","0"
"PSO","051510","2021/10/1","2021/10/31","49"
"NIZ","051690","2021/10/1","2021/10/31","1,846"
"GRH","051890","2021/10/1","2021/10/31","0"
"KSE","052100","2021/10/1","2021/10/31","0"
"PKS","052170","2021/10/1","2021/10/31","396"
"NTN","052330","2021/10/1","2021/10/31","26"
"KSE","052460","2021/10/1","2021/10/31","9,770"
"SES","052680","2021/10/1","2021/10/31","413"
"SK6","052860","2021/10/1","2021/10/31","632"
"KOT","052940","2021/10/1","2021/10/31","0"
"SMJ","052940","2021/10/1","2021/10/31","684"
"SMS","052950","2021/10/1","2021/10/31","0"
"KSE","053020","2021/10/1","2021/10/31","0"
"NTN","053150","2021/10/1","2021/10/31","870"
"NWT","053150","2021/10/1","2021/10/31","613"
"NTN","053310","2021/10/1","2021/10/31","0"
"MRN","053640","2021/10/1","2021/10/31","17"
"ISY","053750","2021/10/1","2021/10/31","0"
"I10","053810","2021/10/1","2021/10/31","0"
"PS2","053810","2021/10/1","2021/10/31","0"
"PSO","053810","2021/10/1","2021/10/31","782"
"SS2","053810","2021/10/1","2021/10/31","1,173"
"GRH","053890","2021/10/1","2021/10/31","109"
"MS2","054400","2021/10/1","2021/10/31","77"
"I10","055610","2021/10/1","2021/10/31","0"
"KHY","055610","2021/10/1","2021/10/31","1,527"
"KWC","055610","2021/10/1","2021/10/31","0"
"SKF","056250","2021/10/1","2021/10/31","62"
"NTN","056420","2021/10/1","2021/10/31","244"
"MS2","056880","2021/10/1","2021/10/31","513"
"FGS","057210","2021/10/1","2021/10/31","0"
"AFD","057620","2021/10/1","2021/10/31","0"
"SES","057980","2021/10/1","2021/10/31","30"
"UIS","057980","2021/10/1","2021/10/31","0"
"SES","058060","2021/10/1","2021/10/31","9"
"I10","058100","2021/10/1","2021/10/31","0"
"YSY","058100","2021/10/1","2021/10/31","0"
"SMS","058100","2021/10/1","2021/10/31","0"
"S31","058460","2021/10/1","2021/10/31","0"
"H03","058880","2021/10/1","2021/10/31","0"
"H04","058880","2021/10/1","2021/10/31","0"
"H05","058880","2021/10/1","2021/10/31","0"
"H06","058880","2021/10/1","2021/10/31","0"
"H07","058880","2021/10/1","2021/10/31","0"
"H08","058880","2021/10/1","2021/10/31","0"
"H10","058880","2021/10/1","2021/10/31","0"
"KOT","058880","2021/10/1","2021/10/31","0"
"PS2","058880","2021/10/1","2021/10/31","0"
"PSO","058880","2021/10/1","2021/10/31","406"
"R01","058880","2021/10/1","2021/10/31","0"
"R02","058880","2021/10/1","2021/10/31","0"
"R03","058880","2021/10/1","2021/10/31","0"
"YMR","058880","2021/10/1","2021/10/31","7,266"
"SZS","058880","2021/10/1","2021/10/31","259"
"H11","058880","2021/10/1","2021/10/31","0"
"GRH","059170","2021/10/1","2021/10/31","0"
"KSE","060090","2021/10/1","2021/10/31","406"
"M22","060320","2021/10/1","2021/10/31","0"
"M23","060320","2021/10/1","2021/10/31","0"
"ACI","061180","2021/10/1","2021/10/31","449"
"B45","061500","2021/10/1","2021/10/31","0"
